id, body, eyes, mouth, hat, clothes, earring
5000, Dark Brown, See Stuff, Argh, Prison, Multicolor, 
5001, Woke From Dead, Notfunny, Meh, Whereisgiraffe, Overalls, 
5002, Checkered, Love, Scowl, Winter Hat, Lingerie, Silver 2
5003, Dark Brown, Nothappy Longer, Dangerous Smoke 1, Devil, Preshistoric, Silver 1
5004, Blue, Bed, What, Have Fun 1, Nowar, Jesus
5005, Light Brown, Multilevel, Meh, Winter Hat, Not A Suit, 
5006, Blue, Nothappy, Say Aah, Trendy W 1, Wifeshirt 1, 
5007, Gotsun, Love, Meh, , Rock, 
5008, Light Brown, Pirate, Yesplease, Jesus Alive, Ay Sailor, 
5009, Dark Brown, Dead, Argh, Cook, , 
5010, No Signal, Machine, Dangerous Smoke 2, Antique, , 
5011, Blue, Undead, Meh, Hiiya, Blank, 
5012, Red, Puppy Dog, Whatever, Headset, , 
5013, Woke From Dead, Pressure, Meh Dangerous Smoke 2, Trendy 1, Cycle, 
5014, Dark Brown, Money, Meh, War Helmet, Rock, 
5015, Vector, Pressure, Argh, , Vest, 
5016, Africa Animal, Pirate, Moo, Winter Hat, Sweet 16, Silver 2
5017, Easter Egg, Puppy Dog, Blow Bubble, Visor Hat, Not A Suit, 
5018, Dark Brown, Notfunny, Moo, , Vest, 
5019, Void, Money, Meh Dangerous Smoke 3, , , 
5020, Brown, Undead, Meh, Trendy W 1, Onthesea, 
5021, Lady, Notfunny, Nofeelingwell, , Bringcash, Silver 2
5022, No Signal, Undead, Scowl, Visor Hat, , 
5023, Color Dots, Dontsee, Meh Dangerous Smoke 2, , Multicolor, 
5024, Easter Egg, Money, Argh, Trendy 1, Onthesea, 
5025, Blue, Pressure, Meh, , Fashion Accesory, 
5026, Holo Rainbow, Multilevel, Say Aah, Prison, Lingerie, 
5027, Woke From Dead, Monocle, Whatever, Punk Short, Not A Suit, 
5028, Nature, Dontlook, Dangerous Smoke 2, Whalehunter 1, Hipsterneck, Gold 2
5029, Beige, Bed, Argh, , Hipster Shirt, 
5030, Vector, Nothappy Longer, Meh, Antique, Rappers, 
5031, Black, Bed, Buck Teeth, Warhat 1, Preshistoric, 
5032, Brown, Undead, Dangerous Smoke 1, Cat Ears, Cool T-Shirt, 
5033, Beige, Not Nice, Bling, , Overalls, 
5034, Dark Brown, Money, Sounds, , Nofire, 
5035, Light Brown, Dead, Higschool, Antique, Alcatraz, Silver 1
5036, Gotsun, Pressure, Meh, Hat 2, Onthesea, 
5037, Blue, Money, Dangerous Smoke 1, Devil, Overalls, 
5038, Dark Brown, Multilevel, Whatever, Whalehunter 2, Piercings, Ear Cuff
5039, Black, Nothappy Longer, Dangerous Smoke 2, Mafia, Bringcash, 
5040, Lady, Multilevel, Buck Teeth, Devil, Overalls, 
