id, body, eyes, mouth, hat, clothes, earring
0, Black, Round Glasses, Buck Teeth, Hat 1, Ay Sailor, 
1, Beige, Dontsee, What, Rabbit, , Silver 2
2, Woke From Dead, Pressure, Whatever, Service, Ymca, 
3, Checkered, Notfunny, Say Aah, , Moon, Silver 2
4, Brown, Undead, Whatever, Have Fun 1, , 
5, Holo Rainbow, Multilevel, What, , , 
6, Brown, Pirate, Dangerous Smoke 3, Trendy 1, Blank, 
7, Light Brown, Nothappy Longer, Argh, Whereiswhale, Vest, 
8, Lady, Pressure, Whatever, Catch Robbers, , 
9, Light Brown, Reality, Meh, , Onthesea, 
10, Black, Money, Now, Whalehunter 1, Rappers, 
11, Bloodbath, Notfunny, Meh, Manbun, Robinson, 
12, Dark Brown, Nothappy Longer, Scowl, , Nowar, 
13, Light Brown, Nothappy, Meh, Whereiswhale, Preshistoric, 
14, Black, Love, Say Aah, Whalehunter 2, Cuba, Silver 2
15, Lady, Dontsee, Whatever, Fetish, Fishnet Top, 
16, Africa Animal, Dead, What, , Nowar, 
17, Brown, Devourer, Now, Service, Praetexta, 
18, Black, Dontsee, Meh, Trendy 1, Robinson, Silver 2
19, Light Brown, Notfunny, Sounds, Whereiswhale, , 
20, Nature, Round Glasses, What, Small Child, , Silver 2
21, Beige, Puppy Dog, Meh Dangerous Smoke 1, Headset, Weapon Belt, 
22, Dark Brown, Money, Say Aah, Have Fun 1, Ymca, 
23, Bloodbath, Undead, Argh, Prison, , 
24, Grey, Nothappy Longer, Whatever, Hat 3, Blank, 
25, Light Brown, Notfunny, Meh, Have Fun 1, , 
26, Black, Nothappy Longer, Dangerous Smoke 2, Prison, Overalls, 
27, Gotsun, Notfunny, Moo, Warhat 2, Wifeshirt 1, 
28, Candy Cane, Love, Meh Dangerous Smoke 2, Jesus Alive, Nofire, Silver 1
29, Bloodbath, See Stuff, Dangerous Smoke 2, Hat 3, , 
30, Machine, Nothappy, Whatever, Winter Hat, Alcatraz, Gold 1
31, Dark Brown, Money, What, Headset, Honololu, 
32, Brown, Notfunny, Meh Sounds, Comrade, Vest, 
33, Black, Reality, Say Aah, , Piercings, Silver 1
34, Holo Rainbow, Nothappy, Dangerous Smoke 2, Leprechaun, Overalls, 
