id, type, gender, skin tone, count, accessories
9000, Human, Male, Light, 4, Cap / Normal Beard Black / Cigarette / Earring
9001, Human, Female, Medium, 2, Wild Blonde / Choker
9002, Human, Female, Light, 2, Fedora / Clown Eyes Blue
9003, Human, Non-Binary (???), Albino, 3, Crazy Hair / Black Lipstick / VR
9004, Human, Male, Light, 3, Cap Forward / Eye Patch / Muttonchops
9005, Human, Female, Light, 2, Mohawk Dark / Cigarette
9006, Human, Female, Dark, 3, Frumpy Hair / Nerd Glasses / Cigarette
9007, Human, Non-Binary (???), Albino, 3, Shaved Head / Hot Lipstick / Clown Eyes Blue
9008, Human, Female, Light, 3, Pigtails / Purple Lipstick / Mole
9009, Human, Female, Light, 1, Peak Spike
9010, Human, Male, Dark, 3, Peak Spike / VR / Goat
9011, Human, Female, Medium, 3, Bandana / Nerd Glasses / Cigarette
9012, Human, Female, Light, 3, Top Hat / Black Lipstick / Green Eye Shadow
9013, Human, Female, Albino, 2, Wild Hair / Purple Eye Shadow
9014, Human, Female, Medium, 4, Mohawk / Frown / Welding Goggles / Silver Chain
9015, Human, Male, Dark, 3, Stringy Hair / Welding Goggles / Normal Beard
9016, Human, Female, Dark, 2, Purple Hair / Gold Chain
9017, Human, Male, Light, 3, Bandana / Normal Beard Black / Earring
9018, Human, Male, Dark, 3, Shaved Head / Small Shades / Mustache
9019, Human, Male, Light, 3, Knitted Cap / Nerd Glasses / Goat
9020, Human, Male, Light, 3, Cap / Frown / Clown Eyes Green
9021, Human, Male, Light, 4, Mohawk Dark / Smile / Nerd Glasses / Earring
9022, Human, Female, Light, 2, Red Mohawk / Horned Rim Glasses
9023, Human, Male, Albino, 3, Bandana / Chinstrap / Cigarette
9024, Human, Male, Dark, 3, Bandana / Big Shades / Mustache
9025, Human, Female, Light, 4, Do-rag / Black Lipstick / Green Eye Shadow / Earring
9026, Human, Female, Dark, 2, Mohawk Dark / VR
9027, Human, Female, Medium, 3, Mohawk / Hot Lipstick / VR
9028, Human, Male, Medium, 3, Peak Spike / Nerd Glasses / Earring
9029, Human, Male, Dark, 3, Stringy Hair / 3D Glasses / Chinstrap
9030, Human, Male, Dark, 3, Mohawk Dark / VR / Earring
9031, Human, Male, Medium, 3, Peak Spike / Small Shades / Normal Beard
9032, Human, Female, Medium, 3, Crazy Hair / Frown / Classic Shades
9033, Human, Male, Light, 3, Mohawk Thin / Cigarette / Earring
9034, Human, Male, Dark, 4, Shaved Head / Big Shades / Normal Beard / Gold Chain
9035, Human, Female, Albino, 2, Pigtails / Smile
9036, Human, Male, Light, 4, Cap Forward / Buck Teeth / Handlebars / Earring
9037, Human, Female, Dark, 3, Stringy Hair / Nerd Glasses / Clown Nose
9038, Human, Female, Dark, 4, Stringy Hair / Purple Lipstick / Classic Shades / Earring
9039, Human, Female, Light, 3, Stringy Hair / Clown Eyes Green / Cigarette
9040, Human, Male, Light, 3, Mohawk / Mustache / Earring
9041, Human, Female, Dark, 3, Crazy Hair / Hot Lipstick / Earring
9042, Human, Male, Light, 5, Knitted Cap / Frown / Horned Rim Glasses / Cigarette / Earring
9043, Human, Male, Light, 3, Shaved Head / Eye Patch / Big Beard
9044, Human, Male, Albino, 2, Wild Hair / Frown
9045, Human, Female, Light, 2, Half Shaved / Cigarette
9046, Human, Male, Medium, 3, Tassle Hat / Normal Beard Black / Earring
9047, Human, Female, Dark, 4, Mohawk / Purple Lipstick / Classic Shades / Earring
9048, Human, Female, Dark, 3, Do-rag / Hot Lipstick / Cigarette
9049, Human, Female, Medium, 3, Red Mohawk / Smile / Earring
9050, Human, Male, Light, 2, Shadow Beard / Rosy Cheeks
9051, Human, Female, Light, 3, Straight Hair / Hot Lipstick / Mole
9052, Human, Female, Light, 3, Frumpy Hair / Horned Rim Glasses / Mole
9053, Human, Female, Dark, 2, Cap Forward / Blue Eye Shadow
9054, Human, Female, Dark, 3, Police Cap / Purple Eye Shadow / Earring
9055, Human, Female, Medium, 3, Orange Side / Vape / Earring
9056, Human, Female, Medium, 2, Mohawk / Spots
9057, Human, Female, Medium, 3, Headband / Purple Lipstick / Purple Eye Shadow
9058, Human, Female, Dark, 2, Headband / Green Eye Shadow
9059, Human, Female, Medium, 2, Messy Hair / Big Shades
9060, Human, Female, Dark, 2, Top Hat / Horned Rim Glasses
9061, Human, Male, Light, 3, Hoodie / Clown Eyes Blue / Normal Beard
9062, Human, Female, Medium, 3, Mohawk / Black Lipstick / Clown Eyes Blue
9063, Human, Female, Albino, 2, Dark Hair / Welding Goggles
9064, Human, Female, Medium, 4, Half Shaved / Black Lipstick / Purple Eye Shadow / Vape
9065, Human, Female, Light, 3, Half Shaved / Purple Lipstick / Clown Eyes Blue
9066, Human, Male, Dark, 3, Cap / Clown Eyes Blue / Earring
9067, Human, Male, Light, 2, Regular Shades / Shadow Beard
9068, Human, Male, Albino, 3, Bandana / 3D Glasses / Normal Beard
9069, Human, Female, Dark, 3, Cap Forward / Purple Lipstick / Classic Shades
9070, Human, Male, Medium, 3, Headband / Eye Patch / Normal Beard
9071, Human, Female, Light, 3, Hot Lipstick / VR / Choker
9072, Human, Female, Albino, 3, Knitted Cap / Horned Rim Glasses / Earring
9073, Human, Male, Albino, 2, Messy Hair / Small Shades
9074, Human, Male, Albino, 2, Mohawk Thin / Spots
9075, Human, Male, Albino, 2, Vampire Hair / Rosy Cheeks
9076, Zombie, ???, , 4, Beanie / Classic Shades / Front Beard Dark / Earring
