id, type, gender, skin tone, count, accessories
0, Human, Female, Albino, 2, Fedora / Frown
1, Human, Female, Light, 2, Crazy Hair / Blue Eye Shadow
2, Human, Male, Albino, 2, Cowboy Hat / Front Beard Dark
3, Human, Female, Dark, 2, Wild White Hair / Nerd Glasses
4, Human, Female, Dark, 2, Tassle Hat / Pipe
5, Human, Female, Dark, 2, Purple Lipstick / Clown Eyes Green
6, Human, Female, Medium, 2, Frumpy Hair / Frown
7, Human, Male, Dark, 2, Vampire Hair / VR
8, Human, Female, Dark, 2, Do-rag / Eye Patch
9, Human, Female, Light, 2, Wild Blonde / Frown
10, Human, Male, Medium, 2, Stringy Hair / Mustache
11, Human, Female, Albino, 2, Hoodie / Vape
12, Human, Male, Dark, 2, Eye Mask / Shadow Beard
13, Human, Non-Binary (???), Medium, 2, Clown Hair Green / Big Beard
14, Zombie, ???, , 3, Messy Hair / Horned Rim Glasses / Mustache
15, Human, Female, Light, 2, Shaved Head / Clown Eyes Blue
16, Human, Male, Light, 2, Cap / Clown Eyes Green
17, Human, Female, Light, 1, Fedora
18, Human, Female, Medium, 2, Do-rag / Nerd Glasses
19, Human, Male, Albino, 2, Fedora / Classic Shades
20, Human, Female, Light, 2, Knitted Cap / 3D Glasses
21, Human, Female, Light, 2, Cap / Vape
22, Human, Male, Medium, 2, Half Shaved / Big Shades
23, Human, Female, Light, 2, Frumpy Hair / Small Shades
24, Human, Female, Albino, 2, Purple Hair / Clown Eyes Green
25, Human, Female, Medium, 2, Headband / Cigarette
26, Human, Female, Albino, 2, Red Mohawk / Vape
27, Human, Female, Light, 2, Vampire Hair / Classic Shades
28, Human, Male, Light, 2, Mohawk Thin / Clown Eyes Green
29, Human, Female, Light, 2, Mohawk / Welding Goggles
30, Human, Female, Medium, 2, Straight Hair Dark / VR
31, Human, Female, Light, 2, Orange Side / Gold Chain
32, Human, Female, Light, 2, Purple Hair / Clown Eyes Blue
33, Human, Non-Binary (???), Medium, 3, Wild Blonde / Clown Eyes Green / Earring
34, Human, Male, Medium, 1, Chinstrap
35, Human, Non-Binary (???), Medium, 3, Mohawk / Horned Rim Glasses / Normal Beard Black
36, Human, Male, Dark, 2, Mohawk Dark / Mole
37, Human, Male, Medium, 2, Fedora / Classic Shades
38, Human, Male, Dark, 2, Vampire Hair / Welding Goggles
39, Human, Female, Light, 1, Cowboy Hat
40, Human, Female, Light, 2, Police Cap / Green Eye Shadow
41, Human, Female, Albino, 2, Stringy Hair / Pipe
42, Human, Male, Medium, 2, Luxurious Beard / Earring
43, Human, Male, Dark, 7, Peak Spike / Smile / Big Shades / Front Beard / Pipe / Earring / Mole
44, Human, Female, Dark, 2, Stringy Hair / Nerd Glasses
45, Human, Female, Dark, 2, Tiara / Earring
46, Human, Female, Albino, 2, Police Cap / VR
47, Human, Male, Albino, 2, Crazy Hair / Front Beard
48, Human, Female, Dark, 2, Cowboy Hat / Black Lipstick
49, Human, Male, Medium, 2, Wild White Hair / Vape
50, Human, Female, Medium, 2, Wild White Hair / Welding Goggles
51, Human, Female, Light, 3, Police Cap / Hot Lipstick / Big Shades
52, Human, Female, Medium, 2, Tiara / Clown Eyes Green
53, Human, Female, Medium, 2, Wild Hair / Regular Shades
54, Human, Female, Dark, 2, Cowboy Hat / Mole
55, Human, Female, Medium, 2, Do-rag / Eye Mask
56, Human, Male, Albino, 2, Eye Mask / Shadow Beard
57, Human, Female, Albino, 2, Nerd Glasses / Earring
58, Human, Female, Light, 2, Vampire Hair / Buck Teeth
59, Human, Male, Albino, 2, Frumpy Hair / Silver Chain
60, Human, Female, Light, 2, Do-rag / Big Shades
61, Human, Female, Dark, 2, Peak Spike / Cigarette
62, Human, Male, Dark, 2, Earring / Mole
63, Human, Female, Dark, 2, Hoodie / Rosy Cheeks
64, Human, Male, Medium, 2, Clown Eyes Green / Handlebars
65, Human, Male, Dark, 2, Red Mohawk / Normal Beard
66, Human, Female, Medium, 2, Vampire Hair / Cigarette
67, Human, Male, Light, 2, Mohawk Thin / Buck Teeth
68, Human, Female, Dark, 2, Bandana / Buck Teeth
69, Human, Female, Albino, 2, Mohawk Thin / Eye Mask
70, Human, Female, Light, 2, Messy Hair / Vape
71, Human, Male, Medium, 2, Frumpy Hair / Horned Rim Glasses
72, Human, Male, Dark, 2, Wild White Hair / Luxurious Beard
73, Human, Female, Medium, 2, Hoodie / Mole
74, Human, Male, Medium, 2, Tassle Hat / Shadow Beard
75, Human, Female, Medium, 2, Blonde Bob / Mole
76, Human, Male, Medium, 2, Police Cap / Medical Mask
77, Human, Female, Medium, 2, Mohawk Dark / VR
78, Human, Female, Light, 2, Shaved Head / Buck Teeth
79, Human, Male, Albino, 2, Messy Hair / Clown Eyes Green
80, Human, Female, Dark, 2, Peak Spike / Clown Eyes Green
81, Human, Male, Dark, 2, Cap / Muttonchops
82, Human, Female, Albino, 2, Purple Hair / Nerd Glasses
83, Human, Female, Light, 2, Top Hat / Green Eye Shadow
84, Human, Female, Medium, 2, Tiara / Regular Shades
85, Human, Female, Medium, 2, Tassle Hat / 3D Glasses
86, Zombie, ???, , 3, Hoodie / 3D Glasses / Earring
87, Human, Male, Light, 2, Wild Hair / Big Beard
88, Human, Male, Albino, 2, Shaved Head / Horned Rim Glasses
89, Human, Female, Light, 2, Blonde Bob / Frown
90, Human, Female, Medium, 2, Knitted Cap / Cigarette
91, Human, Female, Dark, 2, Hoodie / Frown
92, Ape, ???, , 3, Fedora / Gold Chain / Earring
93, Human, Female, Dark, 2, Beanie / Regular Shades
94, Human, Male, Light, 2, Knitted Cap / Spots
95, Human, Male, Medium, 2, Blonde Bob / 3D Glasses
96, Zombie, ???, , 2, Wild Hair / Luxurious Beard
97, Human, Female, Albino, 2, Top Hat / Blue Eye Shadow
98, Human, Female, Light, 2, Fedora / Medical Mask
99, Human, Female, Albino, 2, Red Mohawk / Green Eye Shadow
100, Human, Female, Albino, 2, Mohawk / Clown Eyes Blue
101, Human, Female, Light, 2, Hoodie / 3D Glasses
102, Human, Male, Dark, 2, Police Cap / Big Beard
103, Human, Female, Medium, 2, Peak Spike / Spots
104, Human, Male, Light, 2, Shaved Head / Vape
105, Human, Female, Light, 2, Mohawk / Mole
106, Human, Male, Albino, 2, Cap / Horned Rim Glasses
107, Human, Female, Light, 2, Cowboy Hat / Mole
108, Human, Female, Medium, 3, Hoodie / Black Lipstick / Eye Patch
109, Human, Female, Medium, 2, Beanie / Nerd Glasses
110, Human, Male, Medium, 3, Mohawk Thin / Front Beard Dark / Earring
111, Human, Female, Medium, 2, Cap Forward / Purple Eye Shadow
112, Human, Male, Light, 3, Top Hat / Goat / Earring
113, Human, Non-Binary (???), Medium, 2, Red Mohawk / Clown Eyes Blue
114, Human, Male, Albino, 2, Mohawk / Frown
115, Human, Female, Light, 2, Straight Hair Dark / Gold Chain
116, Human, Male, Albino, 2, Peak Spike / Front Beard
117, Human, Female, Dark, 2, Regular Shades / Cigarette
118, Human, Male, Albino, 2, Shaved Head / Classic Shades
119, Human, Female, Dark, 2, Wild Blonde / Buck Teeth
120, Human, Female, Light, 2, Pilot Helmet / Vape
121, Human, Non-Binary (???), Medium, 2, Classic Shades / Luxurious Beard
122, Human, Female, Dark, 2, Do-rag / Purple Eye Shadow
123, Human, Male, Albino, 2, Big Shades / Mustache
124, Human, Male, Medium, 4, Frumpy Hair / Horned Rim Glasses / Cigarette / Earring
125, Human, Female, Dark, 2, Frown / Blue Eye Shadow
126, Human, Female, Albino, 2, Cowboy Hat / Blue Eye Shadow
127, Human, Non-Binary (???), Dark, 3, Purple Lipstick / Goat / Cigarette
128, Zombie, ???, , 3, Bandana / Black Lipstick / Classic Shades
129, Human, Female, Light, 3, Mohawk / Eye Mask / Cigarette
130, Human, Female, Dark, 2, Headband / Pipe
131, Human, Male, Dark, 2, Cowboy Hat / Small Shades
132, Human, Male, Albino, 2, Pilot Helmet / Shadow Beard
133, Human, Non-Binary (???), Light, 4, Half Shaved / Blue Eye Shadow / Shadow Beard / Rosy Cheeks
134, Zombie, ???, , 3, Pilot Helmet / Normal Beard / Pipe
135, Human, Female, Dark, 2, Purple Hair / Clown Eyes Green
136, Human, Female, Medium, 2, Peak Spike / Smile
137, Human, Male, Medium, 1, Classic Shades
138, Human, Non-Binary (???), Dark, 2, Pink With Hat / 3D Glasses
139, Human, Male, Medium, 2, Red Mohawk / Shadow Beard
140, Human, Male, Medium, 3, Mohawk Dark / Luxurious Beard / Earring
141, Human, Female, Light, 2, Hoodie / Rosy Cheeks
142, Human, Non-Binary (???), Dark, 3, Tassle Hat / Purple Lipstick / Cigarette
143, Human, Female, Medium, 2, Wild Hair / Vape
144, Human, Non-Binary (???), Light, 3, Blonde Short / Front Beard / Earring
145, Human, Male, Light, 2, Classic Shades / Earring
146, Human, Female, Light, 2, Wild Blonde / Smile
147, Human, Female, Medium, 2, Frumpy Hair / Clown Nose
148, Human, Male, Light, 2, Pilot Helmet / Pipe
149, Human, Female, Light, 2, Cap Forward / Eye Patch
150, Human, Female, Dark, 2, Peak Spike / Eye Patch
151, Human, Female, Albino, 2, Vampire Hair / Earring
152, Human, Male, Light, 2, Eye Patch / Goat
153, Zombie, ???, , 2, Wild Hair / Earring
154, Human, Male, Medium, 4, Purple Hair / Front Beard / Earring / Mole
155, Human, Female, Dark, 3, Clown Hair Green / Clown Eyes Blue / Cigarette
156, Human, Male, Medium, 2, Beanie / Earring
157, Human, Male, Dark, 4, Mohawk / Small Shades / Normal Beard / Earring
158, Human, Female, Light, 2, Fedora / Black Lipstick
159, Human, Male, Albino, 2, Top Hat / Muttonchops
160, Human, Female, Light, 2, Mohawk Dark / Eye Patch
161, Human, Female, Light, 2, Fedora / Green Eye Shadow
162, Human, Female, Dark, 2, Police Cap / Mole
163, Human, Female, Light, 2, Straight Hair Blonde / Frown
164, Human, Male, Light, 2, Tiara / Horned Rim Glasses
165, Human, Female, Medium, 2, Mohawk Dark / Pipe
