id, type, gender, skin tone, count, accessories
0, Human, Female, Medium, 3, Green Eye Shadow / Earring / Blonde Bob
1, Human, Male, Dark, 2, Smile / Mohawk
2, Human, Female, Light, 1, Wild Hair
3, Human, Male, Dark, 3, Wild Hair / Nerd Glasses / Pipe
4, Human, Male, Medium, 4, Big Shades / Wild Hair / Earring / Goat
5, Human, Female, Medium, 3, Purple Eye Shadow / Half Shaved / Earring
6, Human, Male, Medium, 1, Do-rag
7, Human, Female, Medium, 3, Wild White Hair / Spots / Clown Eyes Blue
8, Human, Male, Dark, 2, Messy Hair / Luxurious Beard
9, Human, Male, Medium, 3, Clown Nose / Police Cap / Big Beard
10, Human, Female, Dark, 2, Blue Eye Shadow / Mohawk
11, Human, Female, Medium, 3, Black Lipstick / Clown Eyes Green / Straight Hair Dark
12, Human, Female, Dark, 2, Blonde Short / Purple Lipstick
13, Human, Female, Light, 3, Big Shades / Black Lipstick / Straight Hair Blonde
14, Human, Female, Dark, 3, Pipe / Pilot Helmet / Hot Lipstick
15, Human, Male, Albino, 3, Luxurious Beard / Wild Hair / Regular Shades
16, Human, Male, Medium, 3, Stringy Hair / Earring / Small Shades
17, Human, Male, Light, 2, Frown / Mohawk
18, Human, Male, Medium, 2, Eye Mask / Muttonchops
19, Human, Female, Dark, 3, Bandana / Horned Rim Glasses / Hot Lipstick
20, Human, Male, Light, 1, Crazy Hair
21, Human, Male, Light, 3, Messy Hair / Classic Shades / Earring
22, Human, Female, Dark, 2, Pilot Helmet / Purple Lipstick
23, Human, Male, Light, 3, Handlebars / Earring / Do-rag
24, Human, Male, Light, 2, Smile / Mohawk Dark
25, Human, Female, Dark, 1, Wild White Hair
26, Human, Female, Medium, 1, Dark Hair
27, Human, Male, Light, 2, Peak Spike / Earring
28, Human, Male, Dark, 2, Big Shades / Crazy Hair
29, Human, Female, Medium, 3, Horned Rim Glasses / Half Shaved / Earring
30, Human, Male, Dark, 2, Normal Beard Black / Cap
31, Human, Female, Dark, 1, Stringy Hair
32, Human, Male, Light, 2, Frown / VR
33, Human, Male, Light, 1, Peak Spike
34, Human, Female, Light, 2, Frumpy Hair / Purple Lipstick
35, Human, Male, Dark, 5, Cigarette / Peak Spike / Earring / Horned Rim Glasses / Normal Beard
36, Human, Female, Medium, 1, Red Mohawk
37, Human, Female, Dark, 2, Cap / Clown Eyes Blue
38, Human, Female, Light, 3, Frumpy Hair / Classic Shades / Purple Lipstick
